ID,TEXT,TEXT_CLEANED,TOKENS,TOKENS_NO_STOP,TOKENS_LEMMATIZED,TEXT_PROCESSED,SENTIMENT
1,Malaysia and Uzbekistan have agreed to strengthen business-to-business cooperation in the agricultural sector.,malaysia and uzbekistan have agreed to strengthen business to business cooperation in the agricultural sector,"['malaysia', 'and', 'uzbekistan', 'have', 'agreed', 'to', 'strengthen', 'business', 'to', 'business', 'cooperation', 'in', 'the', 'agricultural', 'sector']","['malaysia', 'uzbekistan', 'agreed', 'strengthen', 'business', 'business', 'cooperation', 'agricultural', 'sector']","['malaysia', 'uzbekistan', 'agree', 'strengthen', 'business', 'business', 'cooperation', 'agricultural', 'sector']",malaysia uzbekistan agree strengthen business business cooperation agricultural sector,POSITIVE
2,Both parties believe active involvement of companies is important for exploring new trade and investment opportunities.,both parties believe active involvement of companies is important for exploring new trade and investment opportunities,"['both', 'parties', 'believe', 'active', 'involvement', 'of', 'companies', 'is', 'important', 'for', 'exploring', 'new', 'trade', 'and', 'investment', 'opportunities']","['parties', 'believe', 'active', 'involvement', 'companies', 'important', 'exploring', 'new', 'trade', 'investment', 'opportunities']","['party', 'believe', 'active', 'involvement', 'company', 'important', 'explore', 'new', 'trade', 'investment', 'opportunity']",party believe active involvement company important explore new trade investment opportunity,POSITIVE
3,Both countries agreed to establish a committee to examine investment and trade opportunities in the agricultural sector.,both countries agreed to establish a committee to examine investment and trade opportunities in the agricultural sector,"['both', 'countries', 'agreed', 'to', 'establish', 'a', 'committee', 'to', 'examine', 'investment', 'and', 'trade', 'opportunities', 'in', 'the', 'agricultural', 'sector']","['countries', 'agreed', 'establish', 'committee', 'examine', 'investment', 'trade', 'opportunities', 'agricultural', 'sector']","['country', 'agree', 'establish', 'committee', 'examine', 'investment', 'trade', 'opportunity', 'agricultural', 'sector']",country agree establish committee examine investment trade opportunity agricultural sector,NEUTRAL
4,Malaysia and Uzbekistan agreed to strengthen strategic cooperation in agriculture and agro-food sectors.,malaysia and uzbekistan agreed to strengthen strategic cooperation in agriculture and agro food sectors,"['malaysia', 'and', 'uzbekistan', 'agreed', 'to', 'strengthen', 'strategic', 'cooperation', 'in', 'agriculture', 'and', 'agro', 'food', 'sectors']","['malaysia', 'uzbekistan', 'agreed', 'strengthen', 'strategic', 'cooperation', 'agriculture', 'agro', 'food', 'sectors']","['malaysia', 'uzbekistan', 'agree', 'strengthen', 'strategic', 'cooperation', 'agriculture', 'agro', 'food', 'sector']",malaysia uzbekistan agree strengthen strategic cooperation agriculture agro food sector,POSITIVE
5,"Key areas identified include AI, digital agriculture, sustainable water management and smart technology.",key areas identified include ai digital agriculture sustainable water management and smart technology,"['key', 'areas', 'identified', 'include', 'ai', 'digital', 'agriculture', 'sustainable', 'water', 'management', 'and', 'smart', 'technology']","['key', 'areas', 'identified', 'include', 'ai', 'digital', 'agriculture', 'sustainable', 'water', 'management', 'smart', 'technology']","['key', 'area', 'identify', 'include', 'ai', 'digital', 'agriculture', 'sustainable', 'water', 'management', 'smart', 'technology']",key area identify include ai digital agriculture sustainable water management smart technology,NEUTRAL
6,"Both parties identified strong potential to expand technical cooperation, investment and technology transfer.",both parties identified strong potential to expand technical cooperation investment and technology transfer,"['both', 'parties', 'identified', 'strong', 'potential', 'to', 'expand', 'technical', 'cooperation', 'investment', 'and', 'technology', 'transfer']","['parties', 'identified', 'strong', 'potential', 'expand', 'technical', 'cooperation', 'investment', 'technology', 'transfer']","['party', 'identify', 'strong', 'potential', 'expand', 'technical', 'cooperation', 'investment', 'technology', 'transfer']",party identify strong potential expand technical cooperation investment technology transfer,POSITIVE
7,Malaysia is ready to share expertise and best practices in aquaculture and seafood production with Uzbekistan.,malaysia is ready to share expertise and best practices in aquaculture and seafood production with uzbekistan,"['malaysia', 'is', 'ready', 'to', 'share', 'expertise', 'and', 'best', 'practices', 'in', 'aquaculture', 'and', 'seafood', 'production', 'with', 'uzbekistan']","['malaysia', 'ready', 'share', 'expertise', 'best', 'practices', 'aquaculture', 'seafood', 'production', 'uzbekistan']","['malaysia', 'ready', 'share', 'expertise', 'best', 'practice', 'aquaculture', 'seafood', 'production', 'uzbekistan']",malaysia ready share expertise best practice aquaculture seafood production uzbekistan,POSITIVE
8,Biofloc technology has successfully increased aquaculture productivity in limited areas.,biofloc technology has successfully increased aquaculture productivity in limited areas,"['biofloc', 'technology', 'has', 'successfully', 'increased', 'aquaculture', 'productivity', 'in', 'limited', 'areas']","['biofloc', 'technology', 'successfully', 'increased', 'aquaculture', 'productivity', 'limited', 'areas']","['biofloc', 'technology', 'successfully', 'increase', 'aquaculture', 'productivity', 'limit', 'area']",biofloc technology successfully increase aquaculture productivity limit area,POSITIVE
9,"Uzbekistan expressed interest in obtaining expertise, technology and investment from Malaysia.",uzbekistan expressed interest in obtaining expertise technology and investment from malaysia,"['uzbekistan', 'expressed', 'interest', 'in', 'obtaining', 'expertise', 'technology', 'and', 'investment', 'from', 'malaysia']","['uzbekistan', 'expressed', 'interest', 'obtaining', 'expertise', 'technology', 'investment', 'malaysia']","['uzbekistan', 'express', 'interest', 'obtain', 'expertise', 'technology', 'investment', 'malaysia']",uzbekistan express interest obtain expertise technology investment malaysia,POSITIVE
10,Cooperation between Mardi and Akis is being discussed through a Memorandum of Understanding.,cooperation between mardi and akis is being discussed through a memorandum of understanding,"['cooperation', 'between', 'mardi', 'and', 'akis', 'is', 'being', 'discussed', 'through', 'a', 'memorandum', 'of', 'understanding']","['cooperation', 'mardi', 'akis', 'discussed', 'memorandum', 'understanding']","['cooperation', 'mardi', 'akis', 'discuss', 'memorandum', 'understanding']",cooperation mardi akis discuss memorandum understanding,NEUTRAL
